code,description
01.11,Uzgoj žitarica (osim riže), mahunarki i uljarica
01.12,Uzgoj riže
01.13,Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća
01.14,Uzgoj šećerne trske
01.15,Uzgoj duhana
01.16,Uzgoj vlaknastih biljaka
01.19,Uzgoj ostalih jednogodišnjih usjeva, d. n.
01.21,Uzgoj vinove loze
01.22,Uzgoj tropskog i suptropskog voća
01.23,Uzgoj agruma
01.24,Uzgoj jezgričavog i koštičavog voća
01.25,Uzgoj ostalog drvenastog, grmolikog i orašastog voća
01.26,Uzgoj uljnih plodova
01.27,Uzgoj biljaka za pripremu napitaka
01.28,Uzgoj začinskog, aromatičnog i ljekovitog bilja
01.29,Uzgoj ostalih višegodišnjih usjeva
01.30,Uzgajanje sadnog materijala i ukrasnog bilja
01.41,Uzgoj muznih krava
01.42,Uzgoj ostalih goveda i bivola
01.43,Uzgoj konja i ostalih kopitara
01.44,Uzgoj deva i lama
01.45,Uzgoj ovaca i koza
01.46,Uzgoj svinja
01.47,Uzgoj peradi
01.49,Uzgoj ostalih životinja
01.50,Mješovita poljoprivredna proizvodnja
01.61,Pomoćne djelatnosti za uzgoj usjeva
01.62,Pomoćne djelatnosti za uzgoj životinja
01.63,Djelatnosti nakon žetve usjeva
01.64,Dorada sjemena za sjetvu
01.70,Lov, stupičarenje i uslužne djelatnosti povezane s njima
02.10,Uzgajanje šuma i ostale djelatnosti u šumarstvu
02.20,Sječa drva
02.30,Sakupljanje samoniklih šumskih plodova i proizvoda, osim drvnih sortimenata
02.40,Pomoćne usluge u šumarstvu
03.11,Morski ribolov
03.12,Slatkovodni ribolov
03.21,Morska akvakultura
03.22,Slatkovodna akvakultura
05.10,Vađenje kamenog ugljena
05.20,Vađenje lignita
06.10,Vađenje sirove nafte
06.20,Vađenje prirodnog plina
07.10,Vađenje željeznih ruda
07.21,Vađenje uranijevih i torijevih ruda
07.29,Vađenje ostalih ruda obojenih metala
08.11,Vađenje ukrasnog kamena i kamena za gradnju, krečnjaka, gipsa, krede i škriljevca
08.12,Djelatnosti kopova šljunka i pijeska; vađenje gline i kaolina
08.91,Vađenje minerala za proizvodnju hemikalija i prirodnih mineralnih gnojiva
08.92,Vađenje treseta
08.93,Vađenje soli
08.99,Vađenje ostalih ruda i kamena, d. n.
09.10,Pomoćne djelatnosti za vađenje nafte i prirodnog plina
09.90,Pomoćne djelatnosti za ostalo vađenje ruda i kamena
10.11,Prerada i konzerviranje mesa
10.12,Prerada i konzerviranje mesa peradi
10.13,Proizvodnja proizvoda od mesa i mesa peradi
10.20,Prerada i konzerviranje riba, ljuskara i mekušaca
10.31,Prerada i konzerviranje krompira
10.32,Proizvodnja sokova od voća i povrća
10.39,Ostala prerada i konzerviranje voća i povrća
