Sifra,Naziv_zanimanja
1111.001,Direktor zakonodavnog tijela
1111.002,Predsjednik zakonodavnog tijela
1112.001,Direktor organa državne uprave
1112.002,Načelnik općine
1112.003,Gradonačelnik
1112.004,Ministar
1112.005,Pomoćnik ministra
1112.006,Sekretar ministarstva
1211.001,Direktor velikog preduzeća
1211.002,Izvršni direktor
1211.003,Generalni direktor
1212.001,Rukovodilac finansijskog sektora
1212.002,Finansijski direktor
1213.001,Rukovodilac sektora za ljudske resurse
1213.002,HR menadžer
1219.001,Rukovodilac sektora marketinga
1219.002,Menadžer prodaje
1221.001,Rukovodilac proizvodnje
1222.001,Rukovodilac IT sektora
1223.001,Rukovodilac istraživanja i razvoja
1311.001,Direktor malog preduzeća
1312.001,Vlasnik obrta
1313.001,Upravnik poljoprivrednog gazdinstva
2111.001,Fizičar
2112.001,Meteorolog
2113.001,Hemijski analitičar
2114.001,Geolog
2120.001,Matematičar
2131.001,Biolog
2132.001,Agronom
2133.001,Ekolog
2141.001,Industrijski inženjer
2142.001,Građevinski inženjer
2143.001,Inženjer zaštite okoliša
2144.001,Mašinski inženjer
2145.001,Elektroinženjer
2146.001,Inženjer hemijske tehnologije
2149.001,Saobraćajni inženjer
2151.001,Inženjer elektrotehnike
2152.001,Inženjer elektronike
2161.001,Arhitekta
2162.001,Urbanista
2163.001,Geodet
2211.001,Doktor medicine
2212.001,Doktor stomatologije
2221.001,Medicinska sestra
2222.001,Medicinski tehničar
2230.001,Babica
2310.001,Univerzitetski profesor
2320.001,Profesor srednje škole
2330.001,Nastavnik osnovne škole
2341.001,Učitelj razredne nastave
2411.001,Racunovođa
2412.001,Finansijski analitičar
2413.001,Revizor
2421.001,Advokat
2422.001,Notar
2431.001,Stručnjak za marketing
2432.001,Stručnjak za odnose s javnošću
2511.001,Softver inženjer
2512.001,Programer
2513.001,Web developer
2514.001,Administrator baza podataka
2521.001,Sistemski administrator
2611.001,Pravnik
2631.001,Ekonomista
2632.001,Sociolog
2633.001,Psiholog
2634.001,Novinar
2635.001,Socijalni radnik
3111.001,Tehničar građevine
3112.001,Mašinski tehničar
3113.001,Elektrotehničar
3114.001,Tehničar za elektroniku
3121.001,IT tehničar
3211.001,Laboratorijski tehničar
3221.001,Farmaceutski tehničar
3251.001,Zubni tehničar
3312.001,Kreditni referent
3322.001,Komercijalista
3334.001,Agent osiguranja
3341.001,Kancelarijski službenik
3342.001,Administrativni referent
3353.001,Inspektor
3412.001,Policajac
3421.001,Sportski trener
3511.001,Operater IT podrške
4110.001,Administrativni službenik
4120.001,Referent za unos podataka
4211.001,Bankovni službenik
4222.001,Recepcioner
4311.001,Knjigovođa
4412.001,Poštanski službenik
5120.001,Kuhar
5131.001,Konobar
5141.001,Frizer
5151.001,Domar
5162.001,Policijski službenik
5211.001,Prodavač
5223.001,Blagajnik
5311.001,Odgojitelj
5411.001,Vatrogasac
6111.001,Ratar
6121.001,Uzgojivač stoke
6130.001,Voćar
6210.001,Šumar
6221.001,Ribar
7112.001,Zidar
7115.001,Tesar
7126.001,Instalater
7131.001,Fasader
7212.001,Zavarivač
7223.001,Tokar
7231.001,Automehaničar
7411.001,Električar
7421.001,Stolar
7511.001,Mesar
7531.001,Krojač
8111.001,Rukovalac rudarskih mašina
8121.001,Operater metalurške peći
8131.001,Operater hemijske proizvodnje
8211.001,Sklapač mašina
8322.001,Vozač kamiona
8332.001,Vozač autobusa
8342.001,Rukovalac građevinskih mašina
9112.001,Čistač
9313.001,Pomoćni građevinski radnik
1113.001,Zamjenik načelnika općine
1113.002,Zamjenik gradonačelnika
1214.001,Rukovodilac logistike
1215.001,Rukovodilac nabavke
1216.001,Rukovodilac pravne službe
1217.001,Rukovodilac kvaliteta
1224.001,Rukovodilac građevinskih projekata
1225.001,Rukovodilac proizvodnog pogona
1226.001,Rukovodilac skladišta
1314.001,Upravnik trgovačke radnje
1315.001,Upravnik ugostiteljskog objekta
2111.002,Istraživač fizičar
2112.002,Klimatolog
2113.002,Biohemičar
2114.002,Hidrogeolog
2120.002,Statističar
2131.002,Mikrobiolog
2132.002,Fitopatolog
2133.002,Stručnjak za zaštitu prirode
2141.002,Procesni inženjer
2142.002,Projektant građevinskih konstrukcija
2143.002,Inženjer zaštite na radu
2144.002,Konstruktor mašina
